,instruction,Category
0,I need support modifying the address,Shipping
1,"I want to locate my invoices from {{Person Name}}, how to do it?",Shipping
2,help me entering the secondary delivery address,Shipping
3,is there a way to submit feedback for your company?,Shopping
4,can I leave feedback about a servic?,Shopping
5,there are troubles modifying my address,Shipping
6,how to edit order {{Order Number}},Order
7,I don'tknow what to do to download my invoice #00108,Shipping
8,can i order from {{Delivery City}},Shipping
9,check in what cases can I request to be reimbursed,Cancellations and returns
10,problems with a PIN reset,Login and Account
11,assistance to see how soon can I expect my shipment,Shipping
12,"I lost the password of my user, assistance resetting it",Login and Account
13,I want help checking your allowed payment methods,Order
14,correcting info on {{Account Category}} account,Login and Account
15,I don't know how I can make a customer complaint,Shopping
16,can ya help me update my delivery address,Shipping
17,can I get my invoice from {{Person Name}}?,Shipping
18,assistance informing of errors with payment,Order
19,upddate order {{Order Number}},Order
20,how to inform of an sign-up error,Login and Account
21,I am looking for information about an address update,Shipping
22,I have to see in which cases can I ask to be reimbursed,Cancellations and returns
23,I have got to check your allowed payment options,Order
24,I don't know what I need to do to modify my delivery address,Shipping
25,i have paid {{Currency Symbol}}{{Refund Amount}} for these itmes i want my compensation,Cancellations and returns
26,create platinum account for wife,Login and Account
27,I need assistance to contact somebody,Warranty
28,can you help me seeing when will my parcel arrive?,Shipping
29,I do not know what to do to speak with an assistant,Warranty
30,help seeing the fucking cancellation charges,Cancellations and returns
31,I want help checking what methods for delivery I can choose,Shipping
32,i dont know what i need to do to order an item,Order
33,where to check when my order is going to arrive?,Shipping
34,wanna find the invoices from {{Person Name}} how can i do it,Shipping
35,problem with {{Account Category}} account cancellations,Login and Account
36,I want to restore the key of my account,Login and Account
37,i dont know what i have to do to remove my standard account,Login and Account
38,can ya tell me ur acepted payment modalities,Order
39,"I have to check the shipping options, will you help me?",Shipping
40,check what hours I can reach customer support,Warranty
41,I am waiting for a reimbursement of {{Refund Amount}} dollars,Cancellations and returns
42,where can I check what hourw I can call customer support?,Warranty
43,I want information about the removal of my freemium account,Login and Account
44,switching to premium account,Login and Account
45,assistance to contact goddamn customer support,Warranty
46,wanna submit feedback for ur services help me,Shopping
47,how to track the reimbursement?,Cancellations and returns
48,I don't know how I can set up the goddamn shipping address,Shipping
49,"I need to correct order {{Order Number}}, could you help me?",Order
50,would you give meinformation about {{Account Type}} account removals?,Login and Account
51,need help checking what shipment options I have,Shipping
52,can uhelp me to call customre assistance,Warranty
53,see under which circumstances can I ask for refunds,Cancellations and returns
54,anybody available at customer support,Warranty
55,want help deleting something from order {{Order Number}},Order
56,want help seeing the current status of my reimbursement,Cancellations and returns
57,trouble submitting the edlivery address,Shipping
58,I need assistance talking to a live agent,Warranty
59,can ya help me to lodge a consumer claim,Shopping
60,i want assistance changing the info on my user account,Login and Account
61,assistance seeing the termination charge,Cancellations and returns
62,where do I change my address?,Shipping
63,send service review,Shopping
64,wanna acquire an item how to do it,Order
65,I need to enter an different shipping address,Shipping
66,i have problems  with opening a {{Account Category}} account,Login and Account
67,i want assistance to inform of sign-up issues,Login and Account
68,want assistance checking your reimbursement plicy,Cancellations and returns
69,tell me at what time I can call customer service,Warranty
70,assistance to see at what time I can reach customer support,Warranty
71,issue with payments,Order
72,where do i notify of a trouble with payments,Order
73,I'm tryng to get the bill #00108,Shipping
74,want help reporting errors with sign-up,Login and Account
75,where do I check how soon can I expect the item?,Shipping
76,changing info on {{Account Category}} account,Login and Account
77,I call to send my feedback about your services,Shopping
78,how do I check what shipment options you offer?,Shipping
79,I can't change to the damn platinum account,Login and Account
80,find information about the termination of a standard account,Login and Account
81,I do not know what I need to do to see my rebate status,Cancellations and returns
82,see ur reimbursement policy,Cancellations and returns
83,update details on gold account,Login and Account
84,how to lodge a claim against your company?,Shopping
85,I need help to open a standard account,Login and Account
86,can uhelp me to chat with somebody,Warranty
87,where can i get information about the delivery period,Shipping
88,can you help me canceling purchase {{Order Number}}?,Order
89,"I have to check the withdrawal fees, could you help me ?",Cancellations and returns
90,can uhelp me to modify the data on my user,Login and Account
91,help me seeing if there are any updates on my compensation,Cancellations and returns
92,I need to swap an item of purchase {{Order Number}},Order
93,help to check the ETA of purchase {{Order Number}},Order
94,update details on {{Account Category}} account,Login and Account
95,sasistance resetting the PIN code of my account,Login and Account
96,I don't know how I can see your money back guarantee,Cancellations and returns
97,I expect a reufnd of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
98,can you show me when my item is going to arrive?,Shipping
99,where can I see what shipping methods I can choose?,Shipping
100,edit info on platinum accunt,Login and Account
101,I am waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
102,I want to notify of an error with payments,Order
103,how can I check the refund current status?,Cancellations and returns
104,i need help cancelling puchase {{Order Number}},Order
105,I can no longer afford purchase {{Order Number}},Order
106,want assistance trying to update the address,Shipping
107,i have to see the ETA of purchase {{Order Number}} cn uhelp me,Order
108,i dont know what i need to do to change to the gold account,Login and Account
109,need to write anopinion for ur services,Shopping
110,i do not know whgat to do to set my shipping address up,Shipping
111,help me seeing in what cases can I ask for refunds,Cancellations and returns
112,need to set my secondary delivery address up how do i do it,Shipping
113,assistance to see what shipping options uoffer,Shipping
114,can you help me seeing your refund policy?,Cancellations and returns
115,i need assistance sending my feedback for ur services,Shopping
116,how to correct roder {{Order Number}},Order
117,I am trying to see your allowed payment methods,Order
118,how to use the {{Account Category}} profile,Login and Account
119,help me to see in what cases can i ask for my money back,Cancellations and returns
120,i need assistance canceling order {{Order Number}},Order
121,"I am having an error signing up, can I get some help?",Login and Account
122,I don't know what I have to do to see the early exit charge,Cancellations and returns
123,I want to know about the shipping periods,Shipping
124,I need help checking the early termination penalties,Cancellations and returns
125,"I cannot sign up, assistance reporting fucking signup issues",Login and Account
126,I have a problem with creating a {{Account Category}} account,Login and Account
127,help purchasing some bloody articles,Order
128,i want help checking in which cases can i ask for refunss,Cancellations and returns
129,help to see in what cases can I ask for a reimbursement,Cancellations and returns
130,i cant add some items to order370795561790,Order
131,i want assistance filing a customer claim against ur company,Shopping
132,wannadownload the invoice from {{Person Name}},Shipping
133,how do i reset the pin code of my account,Login and Account
134,I want help calling customer support,Warranty
135,can ya help me to cancel order {{Order Number}},Order
136,add item to order {{Order Number}},Order
137,what do I need to do to get refunds of money?,Cancellations and returns
138,know if there is anything new on my rebate,Cancellations and returns
139,help me to use the gold profile,Login and Account
140,is it possible to contactr a person,Warranty
141,need assistance to switch to the {{Account Type}} account,Login and Account
142,i do not know how i can check the options for shipment,Shipping
143,can you help me to retrieve the PIN of my profile?,Login and Account
144,can i see how long it takes for the item to arrive,Shipping
145,want help unsubscribing to your company newsletter,Login and Account
146,I want assistance to switch to the standard account,Login and Account
147,I want help to talk with a human agent,Warranty
148,I need assistance to list the allowed payment options,Order
149,I need help seeing how long reimbursements take,Cancellations and returns
150,I do not know what I have to do to find invoice #00108,Shipping
151,"I would like to check the fucking delivery methods, help me",Shipping
152,"I want to file a damn reclamation, how can I do it?",Shopping
153,can you help me lodge a complaint against your organization?,Shopping
154,how can I notify of an error with goddamn sign-up?,Login and Account
155,where do I check how soon can I expect my package?,Shipping
156,I would like to cancel the subscription to your newsletter,Login and Account
157,getting invoice from {{Person Name}},Shipping
158,I do not know how to retrieve my key,Login and Account
159,I want assistance to demand compensations,Cancellations and returns
160,i need help entering my new delivery address,Shipping
161,can you help me to file a customer reclamation?,Shopping
162,I have problems with creating my {{Account Type}} acount,Login and Account
163,help to see your accepted paymentt methods,Order
164,could you help me find my invoice from {{Person Name}}?,Shipping
165,"I want to receive your newsletter, I need help",Login and Account
166,check allowed payment modalities,Order
167,editing data on {{Account Category}} account,Login and Account
168,I do not know how I can earn an few of your item,Order
169,help to see what hours I can reach customer service,Warranty
170,where do I create a {{Account Category}} account?,Login and Account
171,how to check how soon can I expect my article?,Shipping
172,where to ask for a rebate of my money,Cancellations and returns
173,I don't know how I could see the early termination penalties,Cancellations and returns
174,leaving review,Shopping
175,i have to see how long refunds take how do i do it,Cancellations and returns
176,cance order {{Order Number}},Order
177,where do I download the invoices from {{Person Name}}?,Shipping
178,ya have a free of charge customer support number,Warranty
179,assistance checking the goddamn termination penalties,Cancellations and returns
180,i dont know what to do to restore my profile password,Login and Account
181,I am trying to order several of your article,Order
182,I have got to take a quick look at my invoice #37777,Shipping
183,"I have got to use the gold profile, can you help me?",Login and Account
184,help seeing in what cases can I request to be refunded,Cancellations and returns
185,want  assistance chatting with somebody,Warranty
186,need to  locate the bill from {{Person Name}} help me,Shipping
187,i cant subscribe to the damn company newsletter,Login and Account
188,"I want to set up a new delivery address, how do I do it?",Shipping
189,I would like to switch something of order {{Order Number}},Order
190,I have got to purchase several articles,Order
191,look for bill #85632,Shipping
192,need to see purchase {{Order Number}} status,Order
193,assistance to write a comment for ur company,Shopping
194,I need to buy an aricle,Order
195,can uhelp me check when will my item arrive,Shipping
